id,syoshin_cd,syohin_mei,maker_cd,dai_bunrui_cd,chu_bunrui_cd,sho_bunrui_cd,sai_bunrui_cd,maker,dai_bunrui,chu_bunrui,sho_bunrui,sai_bunrui
47,4949486565039,ＶＰ抗菌アルミホイル　２５ｃｍｘ８ｍ　ＢＯＸ,4949486,200000,240000,240100,240103,4949486_八社会,200000_日用品,240000_家庭用品,240100_食品包装,240103_アルミホイル
48,4987300026120,ネーブルファイン　３００ｃｐ,4987300,200000,220000,222200,222205,4987300_エスエス製薬,200000_日用品,220000_ＯＴＣ医薬品類,222200_ビタミン主薬製剤,222205_ビタミンＥ主薬製剤
49,4902720109116,森永乳業　ドライミルク　はぐくみ　大缶　８１０ｇ,4902720,100000,190000,190100,190101,4902720_森永乳業,100000_食　品,190000_その他食品,190100_乳幼児食品,190101_育児用ミルク
50,4987087022308,塩野義　タッチコレクトⅡ　４０枚,4987087,200000,210000,212100,212111,4987087_塩野義製薬,200000_日用品,210000_日用雑貨,212100_口中衛生用品,212111_義歯用品
51,4987167431211,ニチバン　ホワイトテープ　Ｗ１２９,4987167,200000,210000,212600,212611,4987167_ニチバン,200000_日用品,210000_日用雑貨,212600_衛生医療用品・用具,212611_固定テープ・巻絆創膏
52,49739442,センタン　古都の氷華いちごフロート　１５０ｍｌ,4976633,100000,130000,130400,130497,4976633_林一二,100000_食　品,130000_菓子類,130400_アイスクリーム類,130497_パーソナルアイスその他
53,4901480415819,マグネットシ－ト　白　マク－３０,4901480,300000,310000,311300,311301,4901480_コクヨ,300000_文化用品,310000_文具・事務用品・情報文具,311300_デザイン画材用品,311301_レタリングシート
54,4979962207467,ヤスダ　アタック　ブルー,4979962,500000,560000,562200,562209,4979962_安田工業所,500000_衣料・身回り品,560000_スポーツ用品,562200_水泳,562209_水泳　防具
55,4901820720924,パスコ　ファミリーモーニング　５枚,4901820,100000,110000,111300,111303,4901820_敷島製パン,100000_食　品,110000_加工食品,111300_パン・シリアル類,111303_菓子パン
56,4571104710073,ＭｉａｗＭｉａｗクリーミー　本枯節風味　４０ｇ,456210094,200000,260000,262200,262201,456210094_アイシア,200000_日用品,260000_ペット用品,262200_猫,262201_猫フード
57,4902412420987,富士甚　黒胡麻ニンニクのたれ　５００ｇ,4902412,100000,110000,110100,110133,4902412_富士甚醤油,100000_食　品,110000_加工食品,110100_調味料,110133_焼き肉のたれ
58,4901004040237,アサヒ　ファミリーセット　ＪＳ－３Ｆ×３,4901004,100000,140000,140700,140701,4901004_アサヒビール,100000_食　品,140000_飲料・酒類,140700_酒類を含むセット商品,140701_酒類を含むセット商品
59,4901070303236,ムシューダ防虫カバー　１年間有効　スーツ用　８枚入,4901070,200000,210000,213200,213201,4901070_エステー,200000_日用品,210000_日用雑貨,213200_防虫・除湿・乾燥剤,213201_防虫剤
60,4901020396073,アツギ　ＬＬＬ　３５７　４Ｐ　ＦＰ１０２８４Ｐ,4901020,500000,510000,510100,510115,4901020_アツギ,500000_衣料・身回り品,510000_衣料・衣服,510100_肌着・靴下,510115_婦人靴下
61,4901065875052,オーエ　ハンガー角　ピンチ３２Ｐ　Ｂ,4901065,200000,240000,240300,240303,4901065_オーエ,200000_日用品,240000_家庭用品,240300_洗濯・物干し用品,240303_物干し用品
62,4937292999346,ウッドストック　懐メロＣＤ１４８０円　１Ｐ,4937292,300000,340000,340900,340901,4937292_ウッドストック,300000_文化用品,340000_楽器・音響ソフト,340900_記録物類,340901_ディスク式記録物類
63,4902775059978,おやつＣ　ピザ生地Ｃ濃厚チーズピザ　３８ｇ,4902775,100000,130000,130100,130131,4902775_おやつカンパニー,100000_食　品,130000_菓子類,130100_菓子,130131_スナック
64,4515927000096,石田屋　紳士ヘップ　＃２５８０,4515927,500000,550000,550500,550548,4515927_石田屋商店,500000_衣料・身回り品,550000_靴・履物,550500_メンズ（合皮）,550548_ヘップサンダル
65,4955129024764,たらみ　濃いぶどうゼリー　０ｋｃａｌ　１９５ｇ,4955129,100000,130000,130200,130203,4955129_たらみ,100000_食　品,130000_菓子類,130200_デザート・ヨーグルト,130203_デザート類
66,4901872374526,ＢＶ　ヘアソリツド　　８０ｇ,4901872,200000,230000,232800,232815,4901872_資生堂,200000_日用品,230000_化粧品,232800_男性化粧品,232815_男性用ブロー・スタイリング剤
67,4970093009340,池田　アヒルちゃんのバケツセット　９３４０,4970093,300000,320000,321500,321501,4970093_池田工業社,300000_文化用品,320000_玩具,321500_保育玩具,321501_バストーイ
68,4901470510463,極東　意味順ノート　ＣＦ０１Ｆ１５,4901470,300000,310000,310700,310715,4901470_日本ノート,300000_文化用品,310000_文具・事務用品・情報文具,310700_教育関連用品,310715_学童用品・教材教具
69,4903301286462,エキタイトップＶギフト　ＬＥＶ－５０Ｓ,4903301,200000,290000,290100,290101,4903301_ライオン,200000_日用品,290000_その他日用品,290100_日用贈答品,290101_日用贈答品
70,4954753081686,生活の木　有機マキベリー１００％パウダー　２０ｇ,4954753,100000,110000,119700,119701,4954753_生活の木,100000_食　品,110000_加工食品,119700_その他加工食品,119701_農産加工品
71,4902506304827,ぺんてる　ゲルＢＰきらり　ＸＫＬ３０７Ｐ－Ａ,4902506,300000,310000,310400,310405,4902506_ぺんてる,300000_文化用品,310000_文具・事務用品・情報文具,310400_筆記用具,310405_ボールペン
72,4987300057612,アンチスタックス　６０カプセル,4987300,200000,220000,223900,223997,4987300_エスエス製薬,200000_日用品,220000_ＯＴＣ医薬品類,223900_その他のＯＴＣ医薬品,223997_その他のＯＴＣ医薬品
73,4978035030667,萬藤　玄米粉　１６０ｇ,4978035,100000,110000,111000,111015,4978035_萬藤,100000_食　品,110000_加工食品,111000_粉類,111015_米粉
74,4939334130113,スズキ　ハーモニカ１５穴　Ｓ－１５Ｃ,4939334,300000,340000,340200,340205,4939334_鈴木楽器製作所,300000_文化用品,340000_楽器・音響ソフト,340200_オルガン類,340205_ハーモニカ
75,4960999904900,ＣＡＮＯＮ　カートリッジ　ＢＣＩ－３５１ＸＬＧＹ,4960999,400000,460000,466300,466330,4960999_キヤノン,400000_耐久消費財,460000_家電,466300_消耗部品,466330_プリンターリボン
76,4901605512232,サンヨー堂　つぶあん　２５０ｇ,4901605,100000,110000,111100,111197,4901605_サンヨー堂,100000_食　品,110000_加工食品,111100_ホームメイキング材料,111197_その他ホームメイキング材料
77,4904118227815,日技　わくわくパック３　６０枚,4904118,300000,310000,310600,310613,4904118_日本技研工業,300000_文化用品,310000_文具・事務用品・情報文具,310600_日用紙製品,310613_包装用品
78,4580467670207,アマティアス　ラブキューピットハッピー　１００ｍｌ,458046767,200000,230000,232400,232403,458046767_ヒューマンクラッチ,200000_日用品,230000_化粧品,232400_フレグランス,232403_トワレ
79,4970050039496,一正　さつま揚　６枚,4970050,100000,110000,111600,111607,4970050_一正蒲鉾,100000_食　品,110000_加工食品,111600_練り製品,111607_揚げ物
80,4902220066216,ＣＯＯＰ　花かつお　７０ｇ,4902220,100000,110000,112100,112111,4902220_日本生活協同組合連合会,100000_食　品,110000_加工食品,112100_加工水産,112111_削り節・かつお節
81,4901901289838,マルハ　あさりしょうが煮ＥＯ　Ｆ３Ｒ　９０ｇ,456220215,100000,110000,110800,110801,456220215_マルハニチロ,100000_食　品,110000_加工食品,110800_缶詰,110801_水産缶詰（マグロ・カツオ以外）
82,4901065618901,オーエ　ヒアルロン酸配合軽石,4901065,200000,240000,240500,240505,4901065_オーエ,200000_日用品,240000_家庭用品,240500_浴室・トイレ用品,240505_身体洗い用品
83,4987603431225,サルバ　ガーゼねまき　着ごこち　女性用　Ｌ,4987603,500000,530000,530700,530709,4987603_白十字,500000_衣料・身回り品,530000_寝具・寝装品,530700_寝装品,530709_ねまき
84,4904901408568,ＤＢＫ　アゾニック　　　ステンレスハサミ,4904901,300000,310000,310300,310313,4904901_デビカ,300000_文化用品,310000_文具・事務用品・情報文具,310300_事務用品,310313_はさみ
85,4973007302742,カーメイト　サイアロマ　ハート　ＷＭ　４５ｇ,4973007,400000,430000,431600,431601,4973007_カーメイト,400000_耐久消費財,430000_車両用品,431600_車用アクセサリー,431601_車用芳香、消臭、脱臭剤
86,4537944263605,徳武　早快マジックオープン紺　ＬＬ,4537944,500000,550000,551000,551091,4537944_徳武産業,500000_衣料・身回り品,550000_靴・履物,551000_その他の靴,551091_ルームシューズ
